tensor([ 0.2062, -0.1695])
tensor([ 0.2084, -0.1643])
tensor([ 0.1908, -0.1748])
tensor([ 0.2175, -0.1795])
tensor([ 0.2153, -0.1777])
tensor([ 0.2128, -0.1593])
tensor([ 0.2236, -0.1765])
tensor([ 0.2301, -0.1788])
tensor([ 0.2277, -0.1776])
tensor([ 0.2102, -0.1699])
tensor([ 0.2173, -0.1770])
tensor([ 0.2187, -0.1632])
tensor([ 0.2160, -0.1872])
tensor([ 0.2286, -0.1818])
tensor([ 0.2345, -0.1770])
tensor([ 0.2360, -0.1875])
tensor([ 0.2220, -0.1785])
tensor([ 0.2343, -0.1743])
tensor([ 0.2188, -0.1772])
tensor([ 0.2278, -0.1920])
tensor([ 0.2182, -0.1870])
tensor([ 0.2406, -0.1859])
tensor([ 0.2270, -0.1964])
tensor([ 0.2398, -0.1937])
tensor([ 0.2402, -0.2001])
tensor([ 0.2563, -0.1797])
tensor([ 0.2465, -0.1914])
tensor([ 0.2455, -0.1830])
tensor([ 0.2656, -0.2014])
tensor([ 0.2477, -0.1882])
tensor([ 0.2616, -0.1896])
tensor([ 0.2751, -0.1907])
tensor([ 0.2574, -0.1947])
tensor([ 0.2609, -0.1839])
tensor([ 0.2670, -0.1886])
