tensor([ 0.1381, -0.0649])
tensor([ 0.1382, -0.0519])
tensor([ 0.1424, -0.0586])
tensor([ 0.1407, -0.0515])
tensor([ 0.1417, -0.0715])
tensor([ 0.1476, -0.0463])
tensor([ 0.1415, -0.0543])
tensor([ 0.1451, -0.0548])
tensor([ 0.1603, -0.0738])
tensor([ 0.1551, -0.0605])
tensor([ 0.1088, -0.0919])
tensor([ 0.1096, -0.1107])
tensor([ 0.1131, -0.0779])
tensor([ 0.1164, -0.1248])
tensor([ 0.1344, -0.1106])
tensor([ 0.1200, -0.1122])
tensor([ 0.1198, -0.0974])
tensor([ 0.1213, -0.1115])
tensor([ 0.1362, -0.1020])
tensor([ 0.1283, -0.0925])
tensor([ 0.1304, -0.1204])
tensor([ 0.1258, -0.1128])
tensor([ 0.1239, -0.1068])
tensor([ 0.1261, -0.1085])
tensor([ 0.1205, -0.1123])
tensor([ 0.1443, -0.1126])
tensor([ 0.1150, -0.1124])
tensor([ 0.1404, -0.1200])
tensor([ 0.1326, -0.1016])
tensor([ 0.1419, -0.0929])
tensor([ 0.1469, -0.1149])
tensor([ 0.1358, -0.1172])
tensor([ 0.1354, -0.1266])
tensor([ 0.1458, -0.1086])
tensor([ 0.1372, -0.1160])
tensor([ 0.1521, -0.1228])
tensor([ 0.1537, -0.1262])
tensor([ 0.1384, -0.1024])
tensor([ 0.1423, -0.1055])
tensor([ 0.1545, -0.1109])
tensor([ 0.1637, -0.1043])
tensor([ 0.1563, -0.1101])
tensor([ 0.1654, -0.1087])
tensor([ 0.1501, -0.1084])
tensor([ 0.1550, -0.1024])
tensor([ 0.1588, -0.1037])
tensor([ 0.1573, -0.1091])
tensor([ 0.1621, -0.1160])
tensor([ 0.1560, -0.0992])
tensor([ 0.1696, -0.0948])
tensor([ 0.1649, -0.1110])
tensor([ 0.1618, -0.1071])
tensor([ 0.1659, -0.0978])
tensor([ 0.1676, -0.1154])
tensor([ 0.1695, -0.1222])
tensor([ 0.1721, -0.1030])
tensor([ 0.1651, -0.1010])
tensor([ 0.1772, -0.1077])
tensor([ 0.1652, -0.1126])
tensor([ 0.1845, -0.1035])
tensor([ 0.1853, -0.1299])
tensor([ 0.1727, -0.1063])
tensor([ 0.1868, -0.0945])
tensor([ 0.1825, -0.1048])
tensor([ 0.1843, -0.0951])
tensor([ 0.1775, -0.1248])
tensor([ 0.1849, -0.0882])
tensor([ 0.1895, -0.1028])
tensor([ 0.1947, -0.1240])
tensor([ 0.1904, -0.1232])
tensor([ 0.1847, -0.1022])
tensor([ 0.1970, -0.0901])
tensor([ 0.2042, -0.1143])
tensor([ 0.1788, -0.1185])
tensor([ 0.2092, -0.1026])
tensor([ 0.1896, -0.1033])
tensor([ 0.1989, -0.0965])
tensor([ 0.1925, -0.1062])
tensor([ 0.2120, -0.1327])
tensor([ 0.2167, -0.1136])
tensor([ 0.2127, -0.1363])
tensor([ 0.2250, -0.1179])
tensor([ 0.2104, -0.1274])
tensor([ 0.2217, -0.1132])
tensor([ 0.2181, -0.1323])
tensor([ 0.2122, -0.1093])
tensor([ 0.2248, -0.1087])
tensor([ 0.2141, -0.1086])
tensor([ 0.2152, -0.1129])
tensor([ 0.2270, -0.1038])
tensor([ 0.2284, -0.1113])
tensor([ 0.2222, -0.1318])
tensor([ 0.2296, -0.1315])
tensor([ 0.2325, -0.1215])
tensor([ 0.2327, -0.1131])
tensor([ 0.2432, -0.1240])
tensor([ 0.2395, -0.1132])
tensor([ 0.2404, -0.1319])
tensor([ 0.2432, -0.1518])
tensor([ 0.2439, -0.1323])
tensor([ 0.2445, -0.1295])
tensor([ 0.2505, -0.1262])
tensor([ 0.2551, -0.1325])
tensor([ 0.2459, -0.1372])
tensor([ 0.1226, -0.1432])
tensor([ 0.1434, -0.1345])
tensor([ 0.1224, -0.1383])
tensor([ 0.1393, -0.1430])
tensor([ 0.1358, -0.1237])
tensor([ 0.1393, -0.1458])
tensor([ 0.1540, -0.1281])
